Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
AMD Phenom X4 9650,CPU,2008-03-27,65.0,95.0,285.0,450.0,2300.0,Unknown,AMD,,,
AMD Athlon XP 2600+,CPU,2003-09-01,130.0,68.0,,63.0,2083.0,Unknown,AMD,,,
Intel Core i5-4350U,CPU,2013-06-04,22.0,15.0,118.0,1400.0,1400.0,Intel,Intel,,,
AMD Ryzen Threadripper 1900X,CPU,2017-08-31,14.0,125.0,213.0,9600.0,3800.0,GF,AMD,,,
Intel Celeron B820,CPU,2012-07-01,32.0,35.0,131.0,504.0,1700.0,Intel,Intel,,,
Intel Xeon W3670,CPU,2010-08-29,32.0,130.0,239.0,1170.0,3200.0,Intel,Intel,,,
Intel Core i7-7740X,CPU,2017-06-26,14.0,112.0,,,4300.0,Intel,Intel,,,
Intel Core i7-4610M,CPU,2014-02-01,22.0,37.0,118.0,1300.0,3000.0,Intel,Intel,,,
AMD Opteron 6282 SE,CPU,2011-11-14,32.0,140.0,316.0,2400.0,2600.0,Unknown,AMD,,,
Intel Celeron N2805,CPU,2013-09-11,22.0,4.0,,,1463.0,Intel,Intel,,,
Intel Pentium 4 HT 631,CPU,2006-01-05,65.0,86.0,81.0,188.0,3000.0,Intel,Intel,,,
Intel Xeon L5609,CPU,2010-03-16,32.0,40.0,239.0,1170.0,1866.0,Intel,Intel,,,
AMD Phenom II X3 715 BE,CPU,2010-10-01,45.0,95.0,258.0,758.0,2800.0,Unknown,AMD,,,
Intel Core i5-8420T,CPU,2018-09-01,14.0,35.0,,,1800.0,Intel,Intel,,,
AMD Opteron 152,CPU,2005-08-02,90.0,104.0,,106.0,2600.0,Unknown,AMD,,,
AMD Sempron 3400+,CPU,2006-01-23,90.0,62.0,,69.0,2000.0,Unknown,AMD,,,
Intel Xeon E5603,CPU,2011-02-14,32.0,80.0,239.0,1170.0,1600.0,Intel,Intel,,,
Intel Pentium G2100T,CPU,2012-09-03,22.0,35.0,94.0,,2600.0,Intel,Intel,,,
AMD Sempron 2600+,CPU,2004-07-28,90.0,62.0,,63.0,1600.0,Unknown,AMD,,,
Intel Pentium 4 HT 660,CPU,2005-02-20,90.0,84.0,109.0,169.0,3600.0,Intel,Intel,,,
AMD Athlon Gold PRO 3150GE,CPU,2020-07-21,12.0,35.0,,,3500.0,GF,AMD,,,
Intel Core i7-10750H,CPU,2020-04-02,14.0,45.0,,,2600.0,Intel,Intel,,,
Intel Celeron 887,CPU,2012-09-01,32.0,17.0,131.0,504.0,1500.0,Intel,Intel,,,
AMD A8-3550MX,CPU,2011-12-20,32.0,45.0,228.0,1178.0,2000.0,Unknown,AMD,,,
Intel Xeon E-2124,CPU,2018-05-31,14.0,72.0,126.0,1400.0,3400.0,Intel,Intel,,,
