incident_year,recovery_status,provoked_unprovoked,victim_activity
1914.0,injured,provoked,spearfishing
1914.0,injured,provoked,fishing
1914.0,fatal,unprovoked,swimming
1914.0,injured,unprovoked,swimming
1914.0,injured,provoked,
1915.0,fatal,unprovoked,swimming
1915.0,injured,unprovoked,unmotorised boating
1915.0,injured,unprovoked,swimming
1915.0,injured,unprovoked,swimming
1916.0,uninjured,provoked,diving
1916.0,injured,unprovoked,swimming
1916.0,fatal,unprovoked,swimming
1916.0,fatal,unprovoked,swimming
1916.0,injured,provoked,snorkelling
1916.0,fatal,provoked,snorkelling
1916.0,fatal,unprovoked,other: standing in water
1916.0,fatal,unprovoked,swimming
1917.0,injured,provoked,fishing
1917.0,injured,unprovoked,swimming
1918.0,injured,provoked,fishing
1918.0,injured,unprovoked,swimming
1918.0,injured,provoked,swimming
1918.0,injured,unprovoked,swimming
1918.0,uninjured,provoked,diving
1918.0,uninjured,unprovoked,swimming
1918.0,fatal,unprovoked,swimming
1918.0,fatal,provoked,snorkelling
1919.0,injured,unprovoked,swimming
1919.0,fatal,unprovoked,swimming
1919.0,fatal,unprovoked,swimming
1919.0,injured,provoked,swimming
1919.0,fatal,unprovoked,swimming
1920.0,fatal,unprovoked,swimming
1920.0,uninjured,provoked,spearfishing
1920.0,injured,unprovoked,swimming
1920.0,injured,provoked,snorkelling
1920.0,injured,provoked,snorkelling
1920.0,injured,unprovoked,other: standing in water
1920.0,injured,unprovoked,other: standing in water
1920.0,injured,provoked,fishing
1920.0,injured,unprovoked,swimming
1921.0,injured,provoked,snorkelling
1921.0,fatal,unprovoked,swimming
1921.0,fatal,unprovoked,swimming
1921.0,injured,unprovoked,swimming
1921.0,injured,unprovoked,swimming
1922.0,injured,unprovoked,swimming
1922.0,fatal,unprovoked,swimming
1922.0,fatal,unprovoked,swimming
1922.0,fatal,unprovoked,swimming
1922.0,fatal,unprovoked,swimming
1923.0,fatal,unprovoked,swimming
1923.0,uninjured,provoked,swimming
1923.0,injured,unprovoked,swimming
1923.0,fatal,provoked,snorkelling
1923.0,injured,provoked,fishing
1923.0,injured,provoked,snorkelling
1923.0,fatal,unprovoked,swimming
1923.0,injured,provoked,snorkelling
1923.0,fatal,provoked,
1923.0,fatal,provoked,
1923.0,injured,unprovoked,swimming
1924.0,fatal,unprovoked,swimming
1924.0,injured,unprovoked,swimming
1924.0,injured,unprovoked,swimming
1924.0,fatal,unprovoked,swimming
1924.0,injured,unprovoked,swimming
1925.0,injured,unprovoked,swimming
1925.0,fatal,unprovoked,swimming
1925.0,fatal,unprovoked,swimming
1926.0,fatal,unprovoked,swimming
1926.0,injured,unprovoked,swimming
1926.0,injured,provoked,snorkelling
1926.0,fatal,provoked,snorkelling
1927.0,injured,provoked,snorkelling
1927.0,fatal,unprovoked,swimming
1927.0,uninjured,unprovoked,swimming
1927.0,injured,unprovoked,swimming
1927.0,injured,provoked,
1927.0,injured,provoked,snorkelling
1927.0,fatal,unprovoked,swimming
1927.0,uninjured,provoked,diving
1928.0,fatal,provoked,
1928.0,fatal,provoked,snorkelling
1928.0,injured,provoked,snorkelling
1928.0,injured,unprovoked,swimming
1928.0,injured,unprovoked,swimming
1928.0,fatal,unprovoked,swimming
1928.0,injured,unprovoked,swimming
1928.0,injured,provoked,snorkelling
1929.0,fatal,unprovoked,swimming
1929.0,injured,provoked,fishing
1929.0,fatal,unprovoked,swimming
1929.0,injured,provoked,snorkelling
1929.0,fatal,unprovoked,swimming
1929.0,fatal,unprovoked,swimming
1929.0,uninjured,unprovoked,unmotorised boating
1929.0,injured,provoked,snorkelling
1929.0,injured,unprovoked,unmotorised boating
1929.0,injured,unprovoked,unmotorised boating
1929.0,fatal,unprovoked,swimming
1929.0,injured,provoked,snorkelling
1929.0,injured,provoked,fishing
1929.0,fatal,unprovoked,swimming
1929.0,injured,provoked,snorkelling
1929.0,injured,provoked,spearfishing
1929.0,fatal,unprovoked,swimming
1929.0,injured,unprovoked,swimming
1929.0,fatal,unprovoked,swimming
1929.0,injured,unprovoked,swimming
1929.0,fatal,unprovoked,swimming
1929.0,injured,unprovoked,swimming
1929.0,uninjured,unprovoked,swimming
1930.0,injured,provoked,spearfishing
1930.0,fatal,unprovoked,swimming
1930.0,injured,unprovoked,swimming
1930.0,fatal,unprovoked,swimming
1930.0,fatal,provoked,snorkelling
1930.0,injured,provoked,fishing
1930.0,injured,unprovoked,swimming
1931.0,injured,provoked,fishing
1931.0,injured,unprovoked,swimming
1931.0,injured,provoked,snorkelling
